"Diapositiva","NombreForma","TipoForma"
"1","Picture 15","13"
"1","CONTENIDO","17"
"1","TEMATICA","17"
"1","Rectangle 16","1"
"1","Picture 12","13"
"1","PNG 2","1"
"2","Picture 5","13"
"2","TextBox 1","17"
"2","titulo","17"
"2","Picture 2","13"
"3","INVITACION BASE","6"
"4","INVITACION 2","1"
"4","INVITACION 4","1"
"4","INVITACION 3","1"
"4","INVITACION","6"
"5","FCP","17"
"5","FONDO 1","5"
"5","TERJETAS GRACIAS POR VENIR","6"
"5","TERJETAS GRACIAS POR VENIR","6"
"5","TERJETAS GRACIAS POR VENIR","6"
"5","TERJETAS GRACIAS POR VENIR","6"
"5","TERJETAS GRACIAS POR VENIR","6"
"5","TERJETAS GRACIAS POR VENIR","6"
"5","TERJETAS GRACIAS POR VENIR","6"
"5","TERJETAS GRACIAS POR VENIR","6"
"5","PNG 2","1"
"5","DISEÑOTEXTO","1"
"5","NOMBRE","1"
"6","FCP","17"
"6","FONDO 1","5"
"6","FONDO 1","5"
"6","FONDO 1","5"
"6","FONDO 1","5"
"6","DISEÑOLETRA","17"
"6","DISEÑOLETRA","17"
"6","DISEÑOLETRA","17"
"6","DISEÑOLETRA","17"
"6","PNG 2","1"
"6","PNG 3","1"
"6","PNG 4","1"
"6","PNG 5","1"
"7","FCP","17"
"7","FONDO 1","5"
"7","FONDO 1","5"
"7","FONDO 1","5"
"7","FONDO 1","5"
"7","DISEÑOLETRA","17"
"7","DISEÑOLETRA","17"
"7","DISEÑOLETRA","17"
"7","DISEÑOLETRA","17"
"7","PNG 3","1"
"7","PNG 7","1"
"7","PNG 8","1"
"7","PNG 9","1"
"8","FCP","17"
"8","FONDO 4","5"
"8","FONDO 3","5"
"8","FONDO 2","5"
"8","FONDO 1","5"
"8","PNG 1","1"
"8","PNG 2","1"
"8","PNG 3","1"
"8","PNG 4","1"
"9","FCP","17"
"9","FONDO 4","5"
"9","FONDO 3","5"
"9","FONDO 1","5"
"9","FONDO 2","5"
"9","PNG 5","1"
"9","PNG 6","1"
"9","PNG 7","1"
"9","PNG 8","1"
"10","COLORSECUNDARIO","5"
"10","COLORPRIMARIO","5"
"10","COLORPRIMARIO","5"
"10","COLORTERCIARIO","5"
"10","DISEÑOLETRA","17"
"10","DISEÑOLETRA","17"
"10","DISEÑOLETRA","17"
"10","DISEÑOLETRA","17"
"10","FCP","17"
"11","COLORTERCIARIO","5"
"11","COLORSECUNDARIO","5"
"11","COLORSECUNDARIO","5"
"11","COLORPRIMARIO","5"
"11","DISEÑOLETRA","17"
"11","DISEÑOLETRA","17"
"11","DISEÑOLETRA","17"
"11","DISEÑOLETRA","17"
"11","FCP","17"
"12","COLORPRIMARIO","5"
"12","COLORTERCIARIO","5"
"12","COLORTERCIARIO 2","5"
"12","COLORSECUNDARIO","5"
"12","DISEÑOLETRA","17"
"12","DISEÑOLETRA","17"
"12","DISEÑOLETRA","17"
"12","DISEÑOLETRA","17"
"12","FCP","17"
"13","COLORSECUNDARIO","5"
"13","COLORPRIMARIO","5"
"13","COLORPRIMARIO","5"
"13","COLORTERCIARIO","5"
"13","DISEÑOLETRA","17"
"13","DISEÑOLETRA","17"
"13","DISEÑOLETRA","17"
"13","DISEÑOLETRA","17"
"13","FCP","17"
"14","GLOBO","6"
"14","GOBLO","6"
"14","GLOBO","6"
"14","COLORSECUNDARIO","1"
"14","COLORSECUNDARIO","1"
"14","COLORSECUNDARIO","1"
"14","COLORSECUNDARIO","1"
"14","COLORPRIMARIO","1"
"14","COLORSECUNDARIO","1"
"14","COLORPRIMARIO","1"
"14","COLORPRIMARIO","1"
"14","COLORSECUNDARIO","1"
"14","COLORSECUNDARIO","1"
"14","COLORSECUNDARIO","1"
"14","COLORSECUNDARIO","1"
"14","COLORSECUNDARIO","1"
"14","COLORPRIMARIO","1"
"14","COLORSECUNDARIO","1"
"14","COLORPRIMARIO","1"
"14","COLORPRIMARIO","1"
"14","COLORPRIMARIO","1"
"14","COLORSECUNDARIO","1"
"14","COLORSECUNDARIO","1"
"14","COLORSECUNDARIO","1"
"14","COLORSECUNDARIO","1"
"14","COLORPRIMARIO","1"
"14","COLORPRIMARIO","1"
"14","COLORPRIMARIO","1"
"14","COLORSECUNDARIO","1"
"14","COLORPRIMARIO","1"
"14","COLORPRIMARIO","1"
"14","COLORPRIMARIO","1"
"14","COLORPRIMARIO","1"
"14","COLORPRIMARIO","1"
"14","COLORPRIMARIO","1"
"14","COLORPRIMARIO","1"
"14","COLORPRIMARIO","1"
"14","COLORPRIMARIO","1"
"14","TCOLORSECUNDARIO","5"
"14","COLORPRIMARIO","1"
"14","COLORSECUNDARIO","1"
"14","COLORPRIMARIO","1"
"14","COLORSECUNDARIO","1"
"14","COLORPRIMARIO","1"
"14","COLORSECUNDARIO","5"
"14","COLORSECUNDARIO","1"
"14","COLORSECUNDARIO","1"
"14","COLORPRIMARIO","1"
"14","COLORSECUNDARIO","5"
"14","COLORPRIMARIO","1"
"14","COLORSECUNDARIO","1"
"14","COLORPRIMARIO","1"
"14","COLORSECUNDARIO","1"
"14","COLORPRIMARIO","1"
"14","COLORSECUNDARIO","5"
"14","COLORSECUNDARIO","1"
"14","COLORSECUNDARIO","1"
"14","COLORSECUNDARIO","1"
"14","COLORSECUNDARIO","1"
"14","COLORSECUNDARIO","1"
"14","COLORSECUNDARIO","1"
"14","Oval 123","1"
"14","FONDO 1","1"
"14","DISEÑOTEXTO","1"
"14","EDAD","1"
"14","NOMBRE","1"
"15","GLOBO","6"
"15","GOBLO","6"
"15","GLOBO","6"
"15","COLORSECUNDARIO","1"
"15","COLORSECUNDARIO","1"
"15","COLORSECUNDARIO","1"
"15","COLORSECUNDARIO","1"
"15","COLORPRIMARIO","1"
"15","COLORSECUNDARIO","1"
"15","COLORPRIMARIO","1"
"15","COLORPRIMARIO","1"
"15","COLORSECUNDARIO","1"
"15","COLORSECUNDARIO","1"
"15","COLORSECUNDARIO","1"
"15","COLORSECUNDARIO","1"
"15","COLORSECUNDARIO","1"
"15","COLORPRIMARIO","1"
"15","COLORSECUNDARIO","1"
"15","COLORPRIMARIO","1"
"15","COLORPRIMARIO","1"
"15","COLORPRIMARIO","1"
"15","COLORSECUNDARIO","1"
"15","COLORSECUNDARIO","1"
"15","COLORSECUNDARIO","1"
"15","COLORSECUNDARIO","1"
"15","COLORPRIMARIO","1"
"15","COLORPRIMARIO","1"
"15","COLORPRIMARIO","1"
"15","COLORSECUNDARIO","1"
"15","COLORPRIMARIO","1"
"15","COLORPRIMARIO","1"
"15","COLORPRIMARIO","1"
"15","COLORPRIMARIO","1"
"15","COLORPRIMARIO","1"
"15","COLORPRIMARIO","1"
"15","COLORPRIMARIO","1"
"15","COLORPRIMARIO","1"
"15","COLORPRIMARIO","1"
"15","TCOLORSECUNDARIO","5"
"15","COLORPRIMARIO","1"
"15","COLORSECUNDARIO","1"
"15","COLORPRIMARIO","1"
"15","COLORSECUNDARIO","1"
"15","COLORPRIMARIO","1"
"15","COLORSECUNDARIO","5"
"15","COLORSECUNDARIO","1"
"15","COLORSECUNDARIO","1"
"15","COLORPRIMARIO","1"
"15","COLORSECUNDARIO","5"
"15","COLORPRIMARIO","1"
"15","COLORSECUNDARIO","1"
"15","COLORPRIMARIO","1"
"15","COLORSECUNDARIO","1"
"15","COLORPRIMARIO","1"
"15","COLORSECUNDARIO","5"
"15","COLORSECUNDARIO","1"
"15","COLORSECUNDARIO","1"
"15","COLORSECUNDARIO","1"
"15","COLORSECUNDARIO","1"
"15","COLORSECUNDARIO","1"
"15","COLORSECUNDARIO","1"
"15","Oval 123","1"
"15","FONDO 1","1"
"15","DISEÑOTEXTO","1"
"15","EDAD","1"
"15","NOMBRE","1"
"16","GLOBO","6"
"16","GOBLO","6"
"16","GLOBO","6"
"16","COLORSECUNDARIO","1"
"16","COLORSECUNDARIO","1"
"16","COLORSECUNDARIO","1"
"16","COLORSECUNDARIO","1"
"16","COLORPRIMARIO","1"
"16","COLORSECUNDARIO","1"
"16","COLORPRIMARIO","1"
"16","COLORPRIMARIO","1"
"16","COLORSECUNDARIO","1"
"16","COLORSECUNDARIO","1"
"16","COLORSECUNDARIO","1"
"16","COLORSECUNDARIO","1"
"16","COLORSECUNDARIO","1"
"16","COLORPRIMARIO","1"
"16","COLORSECUNDARIO","1"
"16","COLORPRIMARIO","1"
"16","COLORPRIMARIO","1"
"16","COLORPRIMARIO","1"
"16","COLORSECUNDARIO","1"
"16","COLORSECUNDARIO","1"
"16","COLORSECUNDARIO","1"
"16","COLORSECUNDARIO","1"
"16","COLORPRIMARIO","1"
"16","COLORPRIMARIO","1"
"16","COLORPRIMARIO","1"
"16","COLORSECUNDARIO","1"
"16","COLORPRIMARIO","1"
"16","COLORPRIMARIO","1"
