"Diapositiva","NombreForma","TipoForma"
"1","FONDO 1","1"
"1","Oval 6","1"
"1","Elipse 22","5"
"1","Elipse 22","5"
"1","Oval 9","1"
"1","Oval 10","1"
"1","Oval 11","1"
"1","Oval 12","1"
"1","Elipse 22","5"
"1","Oval 14","1"
"1","Oval 15","1"
"1","TEXTO 2","1"
"1","Straight Connector 17","9"
"1","Straight Connector 18","9"
"1","TEXTO 6","1"
"1","TEXTO 5","1"
"1","TEXTO 4","1"
"1","TEXTO 3","1"
"1","TEXTO 7","1"
"1","TEXTO 8","1"
"1","TEXTO 1","1"
"1","PNG 12","1"
"1","EDAD","1"
"1","NOMBRE","1"
"1","PNG LOGO","1"
"1","PNG LOGO","1"
"1","PNG LOGO","1"
"2","FONDO 1","1"
"2","FONDO 5","1"
"2","FONDO 4","1"
"2","FONDO 6","1"
"2","FONDO 3","1"
"2","FONDO 2","1"
"2","COLOR 1","17"
"2","COLOR 1","17"
"2","COLOR 1","5"
"2","COLOR 1","5"
"2","COLOR 1","5"
"2","COLOR 1","5"
"2","COLOR 1","5"
"2","FONDO 2","5"
"2","FONDO 3","5"
"2","FONDO 1","5"
"2","PNG 5","1"
"2","PNG 2","1"
"2","PNG 3","1"
"2","PNG 4","1"
"2","PNG 5","1"
"2","PNG 6","1"
"2","PNG 7","1"
"2","PNG 8","1"
"2","NOMBRE","1"
"2","EDAD","1"
"2","NOMBRE","1"
"2","NOMBRE","1"
"2","NOMBRE","1"
"2","NOMBRE","1"
"2","NOMBRE","1"
"2","NOMBRE","1"
"2","NOMBRE","1"
"3","COLOR 2","17"
"3","COLOR 2","5"
"3","COLOR 2","5"
"3","TEMATICA","5"
"3","FONDO 6","5"
"3","COLOR 2","17"
"3","COLOR 2","5"
"3","COLOR 2","5"
"3","PNG 2","1"
"3","PNG 1","1"
"3","PNG 2","1"
"3","PNG 3","1"
"3","PNG 4","1"
"3","PNG 6","1"
"3","PNG 7","1"
"3","PNG 10","1"
"3","PNG 11","1"
"3","PNG 12","1"
"3","NOMBRE","1"
"3","NOMBRE","1"
"4","Rectangle 2","1"
"4","Rectangle 3","1"
"4","Rectangle 4","1"
"4","FONDO 6","1"
"4","FONDO 4","1"
"4","COLOR 3","17"
"4","COLOR 3","17"
"4","COLOR 3","17"
"4","COLOR 3","5"
"4","COLOR 3","5"
"4","COLOR 3","5"
"4","COLOR 3","5"
"4","COLOR 3","5"
"4","COLOR 3","5"
"4","FONDO 3","5"
"4","FONDO 2","5"
"4","FONDO 1","5"
"4","FONDO 4","5"
"4","FONDO 1","5"
"4","FONDO 2","5"
"4","FONDO 6","5"
"4","FONDO 4","5"
"4","FONDO 3","5"
"4","FONDO 3","1"
"4","FONDO 1","5"
"4","TEMATICA","5"
"4","PNG 3","1"
"4","PNG 6","1"
"4","PNG 1","1"
"4","PNG 2","1"
"4","PNG 2","1"
"4","PNG 3","1"
"4","PNG 4","1"
"4","PNG 5","1"
"4","PNG 6","1"
"4","PNG 10","1"
"4","DISEÑOTEXTO","1"
"4","EDAD","1"
